playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
coopewi01,1938,BBWAA,262,197,1,N,Player,16,16
covelst01,1938,BBWAA,262,197,1,N,Player,14,14
cranddo01,1938,BBWAA,262,197,1,N,Player,12,11
cruiswa01,1938,BBWAA,262,197,1,N,Player,11,0
dahlebi01,1938,BBWAA,262,197,1,N,Player,21,0
daubeja01,1938,BBWAA,262,197,1,N,Player,15,0
donovbi01,1938,BBWAA,262,197,1,N,Player,18,18
dooinre01,1938,BBWAA,262,197,1,N,Player,16,0
duganjo01,1938,BBWAA,262,197,1,N,Player,15,0
ehmkeho01,1938,BBWAA,262,197,1,N,Player,16,16
faberre01,1938,BBWAA,262,197,1,N,Player,20,20
flickel01,1938,BBWAA,262,197,1,N,Player,14,0
gleaski01,1938,BBWAA,262,197,1,N,Player,23,9
granted01,1938,BBWAA,262,197,1,N,Player,11,0
grimebu01,1938,BBWAA,262,197,1,N,Player,23,23
harribu01,1938,BBWAA,262,197,1,N,Manager,12,0
herzobu01,1938,BBWAA,262,197,1,N,Player,16,0
irwinch01,1938,BBWAA,262,197,1,N,Player,11,0
jonesfi01,1938,BBWAA,262,197,1,N,Player,15,0
lathaar01,1938,BBWAA,262,197,1,N,Player,18,0
loberha01,1938,BBWAA,262,197,1,N,Player,14,0
longhe01,1938,BBWAA,262,197,1,N,Player,17,0
luquedo01,1938,BBWAA,262,197,1,N,Player,20,20
marbefi01,1938,BBWAA,262,197,1,N,Player,15,15
meusebo01,1938,BBWAA,262,197,1,N,Player,11,0
milancl01,1938,BBWAA,262,197,1,N,Player,16,0
moranpa01,1938,BBWAA,262,197,1,N,Player,14,0
murrare01,1938,BBWAA,262,197,1,N,Player,12,0
perduhu01,1938,BBWAA,262,197,1,N,Player,6,6
ricesa01,1938,BBWAA,262,197,1,N,Player,20,2
sheckji01,1938,BBWAA,262,197,1,N,Player,19,0
shockur01,1938,BBWAA,262,197,1,N,Player,13,13
stahlja01,1938,BBWAA,262,197,1,N,Player,10,0
streega01,1938,BBWAA,262,197,1,N,Player,10,0
